"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"Nydia Velázquez","NY","No Associate's","University of Puerto Rico Rio Piedras","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pablo Jose Hernandez Rivera","PR","No Associate's","Harvard University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Pat Fallon","TX","No Associate's","University of Notre Dame","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pat Harrigan","NC","No Associate's","United States Military Academy","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pat Ryan","NY","No Associate's","U.S. Military Academy at West Point","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Patrick McHenry","NC","No Associate's","Belmont Abbey College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Patty Murray","WA","No Associate's","Washington State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Paul Gosar","AZ","No Associate's","Creighton University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Paul Tonko","NY","No Associate's","Clarkson University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pete Aguilar","CA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
